dataset collection,dataset short name,dataset title (for humans),description,content notes,keywords,created,creator,department,dataset publisher,dataset short name - old,img,imgcaption,format,sha256sum,licence,usage terms,curator,project name,Date range of content,Digital Asset Register ID,filename,doi,how to use data,isreleased
singlesheet,ad3,"Volumes of Lysons Collectanea (Trades), comprising advertisements, cuttings, and illustrations relating to trades, professions, medical cures. 1660-1825.","The dataset comprises four digitised volumes of a collection of advertisements, cuttings and illustrations relating to trades, professions and medical cures from 1660 - 1825 (with OCR-derived text.)","The 2.65 MB .ZIP file (created using 7-Zip) contains one .PDF volume. The 2.65 MB.ZIP file (created using 7-Zip) contains one .TXT file derived from OCR using ABBYY FineReader software (2007). The .TXT file contains plain text in UTF-8 encoding.

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 – 2003 version) format contain metadata about the digitised volume.

The British Library shelfmark is 'C.191.c.16'. More information is available on the <a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?frbrVersion=19&ct=display&fn=search&doc=BLL01016661218"">catalogue</a> (digital version).","Trades,Adverts,Newspapers,pdf,PDFs",2015/01/01,British Library,British Library Labs,British Library,ads-c-191-c-16-pdf,advert-pdf.jpg,Advertisement of an event at Spring Gardens. The collection is in PDF format.,"840 MB ZIP file with four PDF volumes and two files in XLSX and XLS format,2.65 MB ZIP file with four TXT files and two files in XLSX and XLS format",,"CC0 1.0 Public Domain,CC0 1.0 Public Domain","https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/",Tanya Kirk,Single Sheet Digitisation,1660 - 1825,DAR00129,"ads-c-191-c-16-pdf.zip,ads-c-191-c-16-ocr-text.zip",10.21250/ad3,,y
singlesheet,ad4,"Volumes of Lysons Collectanea (Trades), comprising advertisements, cuttings, and illustrations relating to trades, professions, medical cures. 1660-1825. OCR derived text.
","The dataset comprises the OCR text derived from four digitised volumes of a collection of advertisements, cuttings and illustrations relating to trades, professions and medical cures from 1660 - 1825.

The dataset contains four plain text files.","The 2.65 MB.ZIP file (created using 7-Zip) contains one .TXT file derived from OCR using ABBYY FineReader software (2007).

The .TXT file contains plain text in UTF-8 encoding.

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 – 2003 version) format contain metadata about the digitised volume.

The British Library shelfmark is 'C.191.c.16'. More information is available at <a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?frbrVersion=19&ct=display&fn=search&doc=BLL01016661218"">catalogue</a> (digital version).","Trades,Adverts,Newspapers,pdf,PDFs,OCR,text",2015/01/01,British Library,British Library Labs,British Library,ads-c-191-c-16-ocr-text,advert-ocr-text.jpg,A example of OCR derived text on the right from a digitised page from an advertisement of the 'Rackstrow's Anatomical exhibition',2.65 MB ZIP file with four TXT files and two files in XLSX and XLS format,,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Tanya Kirk,Single Sheet Digitisation,1660 - 1825,DAR00130,ads-c-191-c-16-ocr-text.zip,,,n
singlesheet,hi1,Volumes of performances connecting Sir Henry Irving. 1879 - 1905. ,"The dataset comprises 17 digitised volumes of a collection of theatrical performance programmes with which Sir Henry Irving was connected (with OCR-derived text.)

Sir Henry Irving's American and Provincial Tours 

1883 - 1905; miscellaneous performances, including some given by Royal Command, 
1883 - 1903; Lyceum Theatre 
1879 – 1902; and Drury Lane Theatre, 
1903 and 1905. 

The collection was formed by Bram Stoker.","The 3.74 GB ZIP file (created using 7-Zip) contains 17 .PDF volumes. The 3.26 MB .ZIP file (created using 7-Zip) contains 17 .TXT files derived from OCR using ABBYY FineReader software (2007). The .TXT files contain plain text in UTF-8 encoding. 

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 – 2003 version) format contain metadata about the digitised volumes.

The British Library shelfmark is 'C 120 a 1'. More information is available on the <a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?frbrVersion=19&ct=display&fn=search&doc=BLL01001820822"">catalogue</a> (physical version).","Irving,Henry,plays,pdf,PDFs",2015/01/01,British Library,British Library Labs,British Library,henryirving-pdf,henryirving-pdf.jpg,A playbill of Henry Irving play at the Royal Lyceum Theatre. The collection is in PDF format.,"ZIP file with 17 PDF files and two files in XLSX and XLS format,3.26 MB ZIP file with four TXT files and two files in XLSX and XLS format",,"CC0 1.0 Public Domain,CC0 1.0 Public Domain","https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/",Tanya Kirk,Single Sheet Digitisation,1879 - 1902,DAR00126,"henryirving-pdf.zip,henryirving-ocr-text.zip",10.21250/hi1,,y
singlesheet,hi2,Volumes of performances connecting Sir Henry Irving. 1879 - 1905. OCR derived text.,"The dataset comprises the OCR text derived from 17 digitised volumes of a collection of theatrical performance programmes with which Sir Henry Irving was connected.

Sir Henry Irving's American and Provincial Tours 

1883 - 1905; miscellaneous performances, including some given by Royal Command, 
1883 - 1903; Lyceum Theatre 
1879 – 1902; and Drury Lane Theatre, 
1903 and 1905. 

The collection was formed by Bram Stoker.","The 3.26 MB .ZIP file (created using 7-Zip) contains 17 .TXT files derived from OCR using ABBYY FineReader software (2007).

The .TXT files contain plain text in UTF-8 encoding. 

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 – 2003 version) format contain metadata about the digitised volumes.

The British Library shelfmark is 'C 120 a 1'. More information is available at <a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?frbrVersion=19&ct=display&fn=search&doc=BLL01001820822"">catalogue</a> (physical version).","Irving,Henry,plays,pdf,PDFs,OCR,text",2015/01/01,British Library,British Library Labs,British Library,henryirving-ocr-text,henryirving-ocr-text.jpg,An example of OCR derived text on the right from a digitised page from 'A special notice by Henry Irving regarding the Lyceum Theatre',3.26 MB.ZIP file with four TXT files and two files in XLSX and XLS format,,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Tanya Kirk,Single Sheet Digitisation,1879 - 1902,DAR00127,henryirving-ocr-text.zip,,,n
singlesheet,bm1,"Volumes of Madden's cuttings, views, and pamphlets about the British Museum. 1755-1870.","The dataset comprises four digitised volumes of a collection of cuttings, views and pamphlets made by Sir Frederic Madden about the British Museum, dating 1755 - 1870 (with OCR-derived text.)","The 596 MB .ZIP file (created using 7-Zip) contains four .PDF volumes. The 1.98 MB .ZIP file (created using 7-Zip) contains four .TXT files derived from OCR using ABBYY FineReader software (2007). The .TXT files contain plain text in UTF-8 encoding. 

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 – 2003 version) format contain metadata about the digitised volumes.

The British Library shelfmark is 'C.55.i.1'. More information is available on the <a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?frbrVersion=19&ct=display&fn=search&doc=BLL01016661217"">catalogue</a> (digital version).","British,Museum,pdf,PDFs",2015/01/01,British Library,British Library Labs,British Library,history-brit-museum-pdf,britishmuseum-pdf.jpg,Interior of the British Museum. The collection is in PDF format.,"596 MB ZIP with four PDF files and two files in XLSX and XLS format,1.98 MB ZIP file with four TXT  files and two files in XLSX and XLS format",,"CC0 1.0 Public Domain,CC0 1.0 Public Domain","https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/",Tanya Kirk,Single Sheet Digitisation,1755 - 1870,DAR00132,"history-brit-museum-pdf.zip,history-brit-museum-ocr-text.zip",10.21250/bm1,,y
singlesheet,bm2,"Volumes of Madden's cuttings, views, and pamphlets about the British Museum. 1755-1870. OCR derived text.","The dataset comprises the OCR text derived from four digitised volumes of a collection of cuttings, views and pamphlets made by Sir Frederic Madden about the British Museum, dating 1755 - 1870. The dataset contains four plain text files.","The 1.98 MB .ZIP file (created using 7-Zip) contains four .TXT files derived from OCR using ABBYY FineReader software (2007). 

The .TXT files contain plain text in UTF-8 encoding. 

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 – 2003 version) format contain metadata about the digitised volumes.

The British Library shelfmark is 'C.55.i.1'. More information is available at <a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?frbrVersion=19&ct=display&fn=search&doc=BLL01016661217"">catalogue</a> (digital version).","British,Museum,pdf,PDFs,OCR,text",2015/01/01,British Library,British Library Labs,British Library,history-brit-museum-ocr-text,britishmuseum-ocr-text.jpg,An example of OCR derived text on the right from a digitised page from a description of the British Museum.,1.98 MB ZIP file with four TXT  files and two files in XLSX and XLS format,,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Tanya Kirk,Single Sheet Digitisation,1755 - 1870,DAR00133,history-brit-museum-ocr-text.zip,,,n
singlesheet,sa1,Volumes of portraits and biographies of officers in the South African wars collected by John Malcolm Bulloch. 1900 - 1902.,"The dataset comprises six digitised volumes (in PDF) of a collection of portraits and biographical details of some officers distinguished in the South African War (1900 - 1902) (with OCR-derived text.)

The collection was formed by John Malcolm Bulloch..","The 156 MB .ZIP file (created using 7-Zip) contains six .PDF volumes. The 316 KB .ZIP file (created uising 7-Zip) contains six .TXT files derived from OCR using ABBYY FineReader software (2007). The .TXT files contain plain text in UTF-8 encoding. 

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 – 2003 version) format contain metadata about the digitised volumes.

The British Library shelfmark is 'LR.271.d.1'. More information is available on the <a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?frbrVersion=19&ct=display&fn=search&doc=BLL01016661216"">catalogue</a> (digital version).","Portraits, Biography, Biographies, South Africa, Army, War, pdf, PDFs",2015/01/01,British Library,British Library Labs,British Library,port-biog-safrica-pdf,portraits-safrica-pdf.jpg,"Portrait of the 2nd Lieutenant W. J. M. Hill, 1st Scots Guards. The collection is in PDF format.","156 MB ZIP file with six PDF files and two files in XLSX and XLS format,316 KB ZIP file with six TXT files and two files in XLSX and XLS format",,"CC0 1.0 Public Domain,CC0 1.0 Public Domain","https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/",Tanya Kirk,Single Sheet Digitisation,1900 - 1902,DAR00135,"portraits-biogs-safrica-pdf.zip,portraits-biogs-safrica-ocr-text.zip",10.21250/sa1,,y
singlesheet,sa2,Volumes of portraits and biographies of officers in the South African wars collected by John Malcolm Bulloch. 1900 - 1902. OCR derived text.,"The dataset comprises the OCR text derived from six digitised volumes of a collection of portraits and biographical details of some officers distinguished in the South African War (1900 - 1902). 

The collection was formed by John Malcolm Bulloch. The dataset contains six plain text files.","The 316 KB .ZIP file (created uising 7-Zip) contains six .TXT files derived from OCR using ABBYY FineReader software (2007).

The .TXT files contain plain text in UTF-8 encoding. 

Two Microsoft Excel workbook files in .XLSX (2010 version) and .XLS (1997 – 2003 version) format contain metadata about the digitised volumes.

The British Library shelfmark is 'LR.271.d.1'. More information is available at <a href=""http://explore.bl.uk/primo_library/libweb/action/display.do?frbrVersion=19&ct=display&fn=search&doc=BLL01016661216"">catalogue</a> (digital version).
","Portraits, Biography, Biographies, South Africa, Army, War, pdf, PDFs, OCR, text",2015/01/01,British Library,British Library Labs,British Library,port-biog-safrica-ocr-txt,portraits-safrica-ocr-text.jpg,An example of OCR derived text on the right from a digitised page from a description of a portrait.,316 KB ZIP file with six TXT files and two files in XLSX and XLS format,,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Tanya Kirk,Single Sheet Digitisation,1900 - 1902,DAR00136,portraits-biogs-safrica-ocr-text.zip,,,n
digbks,db1,OCR text derived from digitised books published c. 1510 - 1699. ALTO XML.,"This set consists 693 volumes, published between c. 1510 - 1699.

The dataset comprises text from the collection of digitised books created using Optical Character Recognition (OCR) technology. The books cover a wide range of subject areas including philosophy, history, poetry and literature. The dataset is in Analysed Layout and Text Object (ALTO) Extensible Markup Language (XML) format. ","This dataset contains a set of zipfiles, each containing the set of ALTO XML files for a single volume of a book (or a single book, if it consists of a single volume). This dataset was zipped up using 7zip due to its large size, and we recommend you use the same to unzip it. Without using an application like 7zip, older versions of Windows may fail to open it, claiming that the zipfile is corrupt or damaged in some way.

A volume's filename will give you a lot of information about itself - what the system identifier is (the first large number), what volume and the range of pages within. The final large number (before the ""dat"") while this can be safely disregarded, it is unique to that particular volume and may be of some use.

The system identifier links back to the print version of the work on the British Library catalogue. You can either download the metadata file that describes all these works, or search on <a href=""http://explore.bl.uk/"">Explore The British Library</a> with the identifier to see further details about that item.","microsoft, books, digitised, sixteenth,seventeenth,century, metadata, xml, alto",2014,British Library,British Library Labs,British Library,digbks-1510-1699-altoxml,,,"zip file, comprising a zip file of ALTO XML per book volume.",,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Adrian Edwards,Microsoft Digitisation Project,1510 - 1699,DAR00147,1510_1699.zip,10.21250/db1,,y
digbks,db2,OCR text derived from digitised books published 1700 - 1799. ALTO XML.  ,"This set consists 2070 volumes, published between 1700-1799.

The dataset comprises text from the collection of digitised books created using Optical Character Recognition (OCR) technology. The books cover a wide range of subject areas including philosophy, history, poetry and literature. The dataset is in Analysed Layout and Text Object (ALTO) Extensible Markup Language (XML) format. ","This dataset contains a set of zipfiles, each containing the set of ALTO XML files for a single volume of a book (or a single book, if it consists of a single volume). This dataset was zipped up using 7zip due to its large size, and we recommend you use the same to unzip it. Without using an application like 7zip, older versions of Windows may fail to open it, claiming that the zipfile is corrupt or damaged in some way.

A volume's filename will give you a lot of information about itself - what the system identifier is (the first large number), what volume and the range of pages within. The final large number (before the ""dat"") while this can be safely disregarded, it is unique to that particular volume and may be of some use.

The system identifier links back to the print version of the work on the British Library catalogue. You can either download the metadata file that describes all these works, or search on <a href=""http://explore.bl.uk/"">Explore The British Library</a> with the identifier to see further details about that item.","microsoft, books, digitised, eighteenth,century, metadata, xml, alto",2014,British Library,British Library Labs,British Library,digbks-1700-99-altoxml,,,"zip file, comprising a zip file of ALTO XML per book volume.",,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Adrian Edwards,Microsoft Digitisation Project,1700 - 1799,DAR00147,1700_1799.zip,10.21250/db2,,y
digbks,db3,OCR text derived from digitised books published 1800 - 1809. ALTO XML.   ,"This set consists 1502 volumes, published between 1800-1809.

The dataset comprises text from the collection of digitised books created using Optical Character Recognition (OCR) technology. The books cover a wide range of subject areas including philosophy, history, poetry and literature. The dataset is in Analysed Layout and Text Object (ALTO) Extensible Markup Language (XML) format. ","This dataset contains a set of zipfiles, each containing the set of ALTO XML files for a single volume of a book (or a single book, if it consists of a single volume). This dataset was zipped up using 7zip due to its large size, and we recommend you use the same to unzip it. Without using an application like 7zip, older versions of Windows may fail to open it, claiming that the zipfile is corrupt or damaged in some way.

A volume's filename will give you a lot of information about itself - what the system identifier is (the first large number), what volume and the range of pages within. The final large number (before the ""dat"") while this can be safely disregarded, it is unique to that particular volume and may be of some use.

The system identifier links back to the print version of the work on the British Library catalogue. You can either download the metadata file that describes all these works, or search on <a href=""http://explore.bl.uk/"">Explore The British Library</a> with the identifier to see further details about that item.","microsoft, books, digitised, nineteenth,century, metadata, xml, alto",2014,British Library,British Library Labs,British Library,digbks-1800-9-altoxml,,,"zip file, comprising a zip file of ALTO XML per book volume.",,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Adrian Edwards,Microsoft Digitisation Project,1800 - 1809,DAR00147,1800_1809.zip,10.21250/db3,,y
digbks,db4,OCR text derived from digitised books published 1810 - 1819. ALTO XML.,"This set consists 2338 volumes, published between 1810-1819.

The dataset comprises text from the collection of digitised books created using Optical Character Recognition (OCR) technology. The books cover a wide range of subject areas including philosophy, history, poetry and literature. The dataset is in Analysed Layout and Text Object (ALTO) Extensible Markup Language (XML) format. ","This dataset contains a set of zipfiles, each containing the set of ALTO XML files for a single volume of a book (or a single book, if it consists of a single volume). This dataset was zipped up using 7zip due to its large size, and we recommend you use the same to unzip it. Without using an application like 7zip, older versions of Windows may fail to open it, claiming that the zipfile is corrupt or damaged in some way.

A volume's filename will give you a lot of information about itself - what the system identifier is (the first large number), what volume and the range of pages within. The final large number (before the ""dat"") while this can be safely disregarded, it is unique to that particular volume and may be of some use.

The system identifier links back to the print version of the work on the British Library catalogue. You can either download the metadata file that describes all these works, or search on <a href=""http://explore.bl.uk/"">Explore The British Library</a> with the identifier to see further details about that item.","microsoft, books, digitised, nineteenth,century, metadata, xml, alto",2014,British Library,British Library Labs,British Library,digbks-1810-9-altoxml,,,"zip file, comprising a zip file of ALTO XML per book volume.",,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Adrian Edwards,Microsoft Digitisation Project,1810 - 1819,DAR00147,1810_1819.zip,10.21250/db4,,y
digbks,db5,OCR text derived from digitised books published 1820 - 1829. ALTO XML.,"This set consists 2739 volumes, published between 1820-1829.

The dataset comprises text from the collection of digitised books created using Optical Character Recognition (OCR) technology. The books cover a wide range of subject areas including philosophy, history, poetry and literature. The dataset is in Analysed Layout and Text Object (ALTO) Extensible Markup Language (XML) format. ","This dataset contains a set of zipfiles, each containing the set of ALTO XML files for a single volume of a book (or a single book, if it consists of a single volume). This dataset was zipped up using 7zip due to its large size, and we recommend you use the same to unzip it. Without using an application like 7zip, older versions of Windows may fail to open it, claiming that the zipfile is corrupt or damaged in some way.

A volume's filename will give you a lot of information about itself - what the system identifier is (the first large number), what volume and the range of pages within. The final large number (before the ""dat"") while this can be safely disregarded, it is unique to that particular volume and may be of some use.

The system identifier links back to the print version of the work on the British Library catalogue. You can either download the metadata file that describes all these works, or search on <a href=""http://explore.bl.uk/"">Explore The British Library</a> with the identifier to see further details about that item.","microsoft, books, digitised, nineteenth,century, metadata, xml, alto",2014,British Library,British Library Labs,British Library,digbks-1820-9-altoxml,,,"zip file, comprising a zip file of ALTO XML per book volume.",,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Adrian Edwards,Microsoft Digitisation Project,1820 - 1829,DAR00147,1820_1829.zip,10.21250/db5,,y
digbks,db6,OCR text derived from digitised books published 1830 - 1839. ALTO XML.,"This set consists 2639 volumes, published between 1830-1839.

The dataset comprises text from the collection of digitised books created using Optical Character Recognition (OCR) technology. The books cover a wide range of subject areas including philosophy, history, poetry and literature. The dataset is in Analysed Layout and Text Object (ALTO) Extensible Markup Language (XML) format. ","This dataset contains a set of zipfiles, each containing the set of ALTO XML files for a single volume of a book (or a single book, if it consists of a single volume). This dataset was zipped up using 7zip due to its large size, and we recommend you use the same to unzip it. Without using an application like 7zip, older versions of Windows may fail to open it, claiming that the zipfile is corrupt or damaged in some way.

A volume's filename will give you a lot of information about itself - what the system identifier is (the first large number), what volume and the range of pages within. The final large number (before the ""dat"") while this can be safely disregarded, it is unique to that particular volume and may be of some use.

The system identifier links back to the print version of the work on the British Library catalogue. You can either download the metadata file that describes all these works, or search on <a href=""http://explore.bl.uk/"">Explore The British Library</a> with the identifier to see further details about that item.","microsoft, books, digitised, nineteenth,century, metadata, xml, alto",2014,British Library,British Library Labs,British Library,digbks-1830-9-altoxml,,,"zip file, comprising a zip file of ALTO XML per book volume.",,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Adrian Edwards,Microsoft Digitisation Project,1830 - 1839,DAR00147,1830_1839.zip,10.21250/db6,,y
digbks,db7,OCR text derived from digitised books published 1840 - 1849. ALTO XML.,"This set consists 4070 volumes, published between 1840-1849.

The dataset comprises text from the collection of digitised books created using Optical Character Recognition (OCR) technology. The books cover a wide range of subject areas including philosophy, history, poetry and literature. The dataset is in Analysed Layout and Text Object (ALTO) Extensible Markup Language (XML) format. ","This dataset contains a set of zipfiles, each containing the set of ALTO XML files for a single volume of a book (or a single book, if it consists of a single volume). This dataset was zipped up using 7zip due to its large size, and we recommend you use the same to unzip it. Without using an application like 7zip, older versions of Windows may fail to open it, claiming that the zipfile is corrupt or damaged in some way.

A volume's filename will give you a lot of information about itself - what the system identifier is (the first large number), what volume and the range of pages within. The final large number (before the ""dat"") while this can be safely disregarded, it is unique to that particular volume and may be of some use.

The system identifier links back to the print version of the work on the British Library catalogue. You can either download the metadata file that describes all these works, or search on <a href=""http://explore.bl.uk/"">Explore The British Library</a> with the identifier to see further details about that item.","microsoft, books, digitised, nineteenth,century, metadata, xml, alto",2014,British Library,British Library Labs,British Library,digbks-1840-9-altoxml,,,"zip file, comprising a zip file of ALTO XML per book volume.",,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Adrian Edwards,Microsoft Digitisation Project,1840 - 1849,DAR00147,1840_1849.zip,10.21250/db7,,y
digbks,db8,OCR text derived from digitised books published 1850 - 1859. ALTO XML.,"This set consists 5818 volumes, published between 1850-1859.

The dataset comprises text from the collection of digitised books created using Optical Character Recognition (OCR) technology. The books cover a wide range of subject areas including philosophy, history, poetry and literature. The dataset is in Analysed Layout and Text Object (ALTO) Extensible Markup Language (XML) format. ","This dataset contains a set of zipfiles, each containing the set of ALTO XML files for a single volume of a book (or a single book, if it consists of a single volume). This dataset was zipped up using 7zip due to its large size, and we recommend you use the same to unzip it. Without using an application like 7zip, older versions of Windows may fail to open it, claiming that the zipfile is corrupt or damaged in some way.

A volume's filename will give you a lot of information about itself - what the system identifier is (the first large number), what volume and the range of pages within. The final large number (before the ""dat"") while this can be safely disregarded, it is unique to that particular volume and may be of some use.

The system identifier links back to the print version of the work on the British Library catalogue. You can either download the metadata file that describes all these works, or search on <a href=""http://explore.bl.uk/"">Explore The British Library</a> with the identifier to see further details about that item.","microsoft, books, digitised, nineteenth,century, metadata, xml, alto",2014,British Library,British Library Labs,British Library,digbks-1850-9-altoxml,,,"zip file, comprising a zip file of ALTO XML per book volume.",,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Adrian Edwards,Microsoft Digitisation Project,1850 - 1859,DAR00147,1850_1859.zip,10.21250/db8,,y
digbks,db9,OCR text derived from digitised books published 1860 - 1869. ALTO XML.,"This set consists 7498 volumes, published between 1860-1869.

The dataset comprises text from the collection of digitised books created using Optical Character Recognition (OCR) technology. The books cover a wide range of subject areas including philosophy, history, poetry and literature. The dataset is in Analysed Layout and Text Object (ALTO) Extensible Markup Language (XML) format. ","This dataset contains a set of zipfiles, each containing the set of ALTO XML files for a single volume of a book (or a single book, if it consists of a single volume). This dataset was zipped up using 7zip due to its large size, and we recommend you use the same to unzip it. Without using an application like 7zip, older versions of Windows may fail to open it, claiming that the zipfile is corrupt or damaged in some way.

A volume's filename will give you a lot of information about itself - what the system identifier is (the first large number), what volume and the range of pages within. The final large number (before the ""dat"") while this can be safely disregarded, it is unique to that particular volume and may be of some use.

The system identifier links back to the print version of the work on the British Library catalogue. You can either download the metadata file that describes all these works, or search on <a href=""http://explore.bl.uk/"">Explore The British Library</a> with the identifier to see further details about that item.","microsoft, books, digitised, nineteenth,century, metadata, xml, alto",2014,British Library,British Library Labs,British Library,digbks-1860-9-altoxml,,,"zip file, comprising a zip file of ALTO XML per book volume.",,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Adrian Edwards,Microsoft Digitisation Project,1860 - 1869,DAR00147,1860_1869.zip,10.21250/db9,,y
digbks,db10,OCR text derived from digitised books published 1870 - 1879. ALTO XML.,"This set consists 8630 volumes, published between 1870-1879.

The dataset comprises text from the collection of digitised books created using Optical Character Recognition (OCR) technology. The books cover a wide range of subject areas including philosophy, history, poetry and literature. The dataset is in Analysed Layout and Text Object (ALTO) Extensible Markup Language (XML) format. ","This dataset contains a set of zipfiles, each containing the set of ALTO XML files for a single volume of a book (or a single book, if it consists of a single volume). This dataset was zipped up using 7zip due to its large size, and we recommend you use the same to unzip it. Without using an application like 7zip, older versions of Windows may fail to open it, claiming that the zipfile is corrupt or damaged in some way.

A volume's filename will give you a lot of information about itself - what the system identifier is (the first large number), what volume and the range of pages within. The final large number (before the ""dat"") while this can be safely disregarded, it is unique to that particular volume and may be of some use.

The system identifier links back to the print version of the work on the British Library catalogue. You can either download the metadata file that describes all these works, or search on <a href=""http://explore.bl.uk/"">Explore The British Library</a> with the identifier to see further details about that item.","microsoft, books, digitised, nineteenth,century, metadata, xml, alto",2014,British Library,British Library Labs,British Library,digbks-1870-9-altoxml,,,"zip file, comprising a zip file of ALTO XML per book volume.",,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Adrian Edwards,Microsoft Digitisation Project,1870 - 1879,DAR00147,1870_1879.zip,10.21250/db10,,y
digbks,db11,OCR text derived from digitised books published 1880 - 1889. ALTO XML.,"This set consists 10856 volumes, published between 1880-1889.

The dataset comprises text from the collection of digitised books created using Optical Character Recognition (OCR) technology. The books cover a wide range of subject areas including philosophy, history, poetry and literature. The dataset is in Analysed Layout and Text Object (ALTO) Extensible Markup Language (XML) format. ","This dataset contains a set of zipfiles, each containing the set of ALTO XML files for a single volume of a book (or a single book, if it consists of a single volume). This dataset was zipped up using 7zip due to its large size, and we recommend you use the same to unzip it. Without using an application like 7zip, older versions of Windows may fail to open it, claiming that the zipfile is corrupt or damaged in some way.

A volume's filename will give you a lot of information about itself - what the system identifier is (the first large number), what volume and the range of pages within. The final large number (before the ""dat"") while this can be safely disregarded, it is unique to that particular volume and may be of some use.

The system identifier links back to the print version of the work on the British Library catalogue. You can either download the metadata file that describes all these works, or search on <a href=""http://explore.bl.uk/"">Explore The British Library</a> with the identifier to see further details about that item.","microsoft, books, digitised, nineteenth,century, metadata, xml, alto",2014,British Library,British Library Labs,British Library,digbks-1880-9-altoxml,,,"zip file, comprising a zip file of ALTO XML per book volume.",,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Adrian Edwards,Microsoft Digitisation Project,1880 - 1889,DAR00147,1880_1889.zip,10.21250/db11,,y
digbks,db12,OCR text derived from digitised books published 1890 - 1899. ALTO XML. ,"This set consists 14847 volumes, published between 1890-1899.

The dataset comprises text from the collection of digitised books created using Optical Character Recognition (OCR) technology. The books cover a wide range of subject areas including philosophy, history, poetry and literature. The dataset is in Analysed Layout and Text Object (ALTO) Extensible Markup Language (XML) format. ","This dataset contains a set of zipfiles, each containing the set of ALTO XML files for a single volume of a book (or a single book, if it consists of a single volume). This dataset was zipped up using 7zip due to its large size, and we recommend you use the same to unzip it. Without using an application like 7zip, older versions of Windows may fail to open it, claiming that the zipfile is corrupt or damaged in some way.

A volume's filename will give you a lot of information about itself - what the system identifier is (the first large number), what volume and the range of pages within. The final large number (before the ""dat"") while this can be safely disregarded, it is unique to that particular volume and may be of some use.

The system identifier links back to the print version of the work on the British Library catalogue. You can either download the metadata file that describes all these works, or search on <a href=""http://explore.bl.uk/"">Explore The British Library</a> with the identifier to see further details about that item.","microsoft, books, digitised, nineteenth,century, metadata, xml, alto",2014,British Library,British Library Labs,British Library,digbks-1890-9-altoxml,,,"zip file, comprising a zip file of ALTO XML per book volume.",,CC0 1.0 Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,Adrian Edwards,Microsoft Digitisation Project,1890 - 1899,DAR00147,1890_1899.zip,10.21250/db12,,y
